PARi,air_temperature,soil_temperature,ambient_CO2,humidity,Wind,hour,DOY,t
202.0,7.6,8.353108891324554,360,0.97,4.0,12,351,0
157.1111111111111,7.5,8.388074039201175,360,0.96,4.0,13,351,1
123.44444444444446,7.3,8.4,360,0.95,4.0,14,351,2
78.55555555555554,7.5,8.388074039201175,360,0.94,4.0,15,351,3
33.66666666666667,7.5,8.353108891324554,360,0.93,4.0,16,351,4
11.222222222222221,7.3,8.297487373415292,360,0.93,4.0,17,351,5
0.0,7.3,8.225000000000001,360,0.94,4.0,18,351,6
0.0,7.2,8.140586665785882,360,0.94,3.0,19,351,7
0.0,7.1,8.05,360,0.95,4.0,20,351,8
0.0,7.0,7.959413334214118,360,0.95,3.0,21,351,9
0.0,6.9,7.875000000000001,360,0.95,3.0,22,351,10
0.0,6.6,7.802512626584709,360,0.96,3.0,23,351,11
0.0,6.2,7.746891108675447,360,0.96,4.0,24,351,12
0.0,5.8,7.908518543427733,360,0.96,4.0,1,352,13
0.0,5.4,7.9,360,0.96,5.0,2,352,14
0.0,4.8,7.908518543427733,360,0.97,4.0,3,352,15
0.0,4.3,7.933493649053891,360,0.97,4.0,4,352,16
0.0,3.7,7.973223304703364,360,0.97,4.0,5,352,17
0.0,2.8,8.025,360,0.98,2.0,6,352,18
0.0,2.1,8.08529523872437,360,0.98,1.0,7,352,19
0.0,1.5,8.15,360,0.98,2.0,8,352,20
101.0,2.4,8.21470476127563,360,0.99,2.0,9,352,21
347.8888888888889,6.9,8.275,360,0.99,6.0,10,352,22
415.2222222222223,7.9,8.326776695296637,360,0.98,6.0,11,352,23
482.5555555555556,8.3,8.36650635094611,360,0.85,6.0,12,352,24
415.2222222222223,8.9,8.391481456572267,360,0.8,6.0,13,352,25
381.55555555555554,9.6,8.4,360,0.76,6.0,14,352,26
213.22222222222223,9.2,8.391481456572267,360,0.8,5.0,15,352,27
67.33333333333334,8.8,8.36650635094611,360,0.82,4.0,16,352,28
0.0,8.5,8.326776695296637,360,0.8,6.0,17,352,29
0.0,7.8,8.275,360,0.82,6.0,18,352,30
0.0,7.8,8.21470476127563,360,0.84,6.0,19,352,31
0.0,8.0,8.15,360,0.83,6.0,20,352,32
0.0,7.9,8.08529523872437,360,0.82,5.0,21,352,33
0.0,7.7,8.025,360,0.81,6.0,22,352,34
0.0,6.9,7.973223304703364,360,0.85,6.0,23,352,35
0.0,7.4,7.933493649053891,360,0.84,6.0,24,352,36
0.0,7.1,8.025555630283199,360,0.86,8.0,1,353,37
0.0,7.0,8.0,360,0.85,8.0,2,353,38
0.0,7.4,8.025555630283199,360,0.83,7.0,3,353,39
0.0,7.1,8.100480947161671,360,0.84,7.0,4,353,40
0.0,7.3,8.219669914110089,360,0.85,7.0,5,353,41
0.0,7.9,8.375,360,0.83,8.0,6,353,42
0.0,7.6,8.55588571617311,360,0.91,7.0,7,353,43
0.0,7.8,8.75,360,0.94,6.0,8,353,44
33.66666666666667,8.8,8.94411428382689,360,0.96,5.0,9,353,45
134.66666666666669,9.9,9.125,360,0.97,6.0,10,353,46
145.88888888888889,10.8,9.280330085889911,360,0.97,6.0,11,353,47
101.0,10.2,9.399519052838329,360,0.97,8.0,12,353,48
89.77777777777777,9.8,9.474444369716801,360,0.98,6.0,13,353,49
123.44444444444446,10.6,9.5,360,0.98,6.0,14,353,50
